import time: self [us] | cumulative | imported package
import time:       173 |        622 |           django.core.signals
import time:       121 |        121 |             django.core.cache.backends
import time:       282 |        402 |           django.core.cache.backends.base
import time:       313 |        313 |           django.utils.connection
import time:       173 |       1509 |         django.core.cache
import time:       275 |        275 |           glob
import time:       329 |        329 |             _compat_pickle
import time:      1718 |       1718 |             _pickle
import time:        39 |         39 |                 org
import time:         9 |         48 |               org.python
import time:         9 |         56 |             org.python.core
import time:       646 |       2748 |           pickle
import time:      1084 |       1084 |               _bisect
import time:       247 |       1331 |             bisect
import time:       930 |        930 |             _random
import time:      1463 |       1463 |             _sha512
import time:      1265 |       4988 |           random
import time:      1680 |       1680 |               zlib
import time:       223 |        223 |                 _compression
import time:      1928 |       1928 |                 _bz2
import time:       306 |       2456 |               bz2
import time:      3453 |       3453 |                 _lzma
import time:       281 |       3734 |               lzma
import time:       461 |       8329 |             shutil
import time:       348 |       8677 |           tempfile
import time:       261 |        261 |               django.core.files.utils
import time:       285 |        546 |             django.core.files.base
import time:       231 |        776 |           django.core.files
import time:      1647 |       1647 |             fcntl
import time:       228 |       1874 |           django.core.files.locks
import time:       101 |        101 |           django.core.files.move
import time:      4467 |       4467 |               _hashlib
import time:      1625 |       1625 |               _blake2
import time:       844 |       6935 |             hashlib
import time:       309 |        309 |             hmac
import time:       251 |        251 |             secrets
import time:       773 |        773 |               locale
import time:       315 |        315 |                   numbers
import time:      2717 |       3032 |                 _decimal
import time:       251 |       3282 |               decimal
import time:       393 |       4447 |             django.utils.encoding
import time:      2839 |      14778 |           django.utils.crypto
import time:       260 |      34473 |         django.core.cache.backends.filebased
import time:       151 |      36132 |       django.core.checks.caches
import time:       245 |        245 |         django.core.checks.compatibility
import time:       248 |        493 |       django.core.checks.compatibility.django_4_0
import time:       365 |        365 |           django.db.utils
import time:       189 |        554 |         django.db
import time:       815 |       1369 |       django.core.checks.database
import time:       121 |        121 |       django.core.checks.files
import time:       250 |        250 |       django.core.checks.model_checks
import time:       103 |        103 |         django.core.checks.security
import time:       383 |        486 |       django.core.checks.security.base
import time:       128 |        128 |       django.core.checks.security.csrf
import time:       129 |        129 |       django.core.checks.security.sessions
import time:       307 |        307 |                   django.template.context
import time:      2053 |       2053 |                     unicodedata
import time:       465 |        465 |                       calendar
import time:       569 |        569 |                         email
import time:       329 |        329 |                         email._parseaddr
import time:       152 |        152 |                           email.base64mime
import time:       246 |        246 |                           email.quoprimime
import time:       290 |        290 |                           email.errors
import time:       219 |        219 |                             quopri
import time:       168 |        386 |                           email.encoders
import time:       371 |       1443 |                         email.charset
import time:       508 |       2847 |                       email.utils
import time:      1122 |       1122 |                             termios
import time:        44 |         44 |                             pywatchman
import time:       381 |       1545 |                           django.utils.autoreload
import time:       365 |       1910 |                         django.utils.translation
import time:       354 |       2263 |                       django.utils.dates
import time:       565 |        565 |                             sysconfig
import time:       305 |        305 |                             _sysconfigdata__darwin_darwin
import time:       275 |        275 |                             _osx_support
import time:      1206 |       2350 |                           zoneinfo._tzpath
import time:       135 |        135 |                           zoneinfo._common
import time:      1466 |       1466 |                           _zoneinfo
import time:       336 |       4286 |                         zoneinfo
import time:       281 |       4567 |                       django.utils.timezone
import time:       300 |      10441 |                     django.utils.dateformat
import time:       280 |        280 |                       django.utils.safestring
import time:       216 |        496 |                     django.utils.numberformat
import time:       241 |      13229 |                   django.utils.formats
import time:       612 |        612 |                       html.entities
import time:       466 |       1077 |                     html
import time:      1226 |       1226 |                           _json
import time:       371 |       1597 |                         json.scanner
import time:       383 |       1980 |                       json.decoder
import time:       299 |        299 |                       json.encoder
import time:       456 |       2733 |                     json
import time:       404 |        404 |                       _markupbase
import time:      1234 |       1638 |                     html.parser
import time:      1189 |       1189 |                       ipaddress
import time:       333 |        333 |                       django.utils.datastructures
import time:       320 |       1841 |                     django.utils.http
import time:       392 |        392 |                       gzip
import time:       823 |        823 |                       textwrap
